,WD-I,WD-A,WD-IM,S,V-A,V-IM,W,Le-Areg,Le-A,SW-SM,SRD-IM,SRD-A,EDU,OI-Int,OI-A,DA,Undecided
WD-I,L,,,,,,,,,,,,,,,,
WD-A,R,L,,,,,,,,,,,,,,,
WD-IM,R,L,L,,,,,,,,,,,,,,
S,R,L,U,L,,,,,,,,,,,,,
V-A,R,R,L,R,L,,,,,,,,,,,,
V-IM,R,R,X,L,L,L,,,,,,,,,,,
W,X,R,R,X,R,C,L,,,,,,,,,,
Le-Areg,R,C,C,U,C,C,R,L,,,,,,,,,
Le-A,R,C,R,R,L,L,R,L,L,,,,,,,,
SW-SM,X,L,U,X,L,C,L,R,C,L,,,,,,,
SRD-IM,R,R,X,C,U,C,R,R,R,C,L,,,,,,
SRD-A,R,L,C,C,L,L,R,R,C,C,L,L,,,,,
EDU,U,U,U,U,U,U,U,U,U,U,U,U,L,,,,
OI-Int,U,U,U,U,U,U,U,U,U,U,U,U,U,L,,,
OI-A,U,U,U,U,U,U,U,U,U,U,U,U,U,L,L,,
DA,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,L,
Undecided,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U